Complexity,Loss,Equation
1,3656.8,"75.00009"
3,2841.4697,"x0 * 0.0018070415"
5,2242.8667,"(-90053.26 / x0) + 96.00183"
7,2066.1504,"(0.0045640636 + (x0 * -4.812529e-8)) * x0"
9,2050.5898,"-6.9308476 - (x0 * (-0.004888763 - (x0 * -5.170613e-8)))"
11,1482.6904,"((((72911.57 - x0) * 2.8815249e-12) * x0) * x0) - 13.730728"
13,75.79721,"((((x0 * x0) * 2.0503101e-16) * (71410.28 - x0)) + -0.004892432) * x0"
15,75.498215,"x0 * (((x0 * (0.7424353 - (x0 * 1.0401042e-5))) * (1.9496736e-11 * x0)) + -0.0047984254)"
17,71.85657,"(x0 * (((x0 * (x0 * 1.9496736e-11)) * (0.7431538 - (x0 * 1.039653e-5))) + -0.004949629)) + 4.496566"
19,71.85641,"((x0 + -0.428092) * ((x0 * (((0.7431538 - (x0 * 1.039653e-5)) * 1.9496736e-11) * x0)) + -0.004949629)) + 4.4965763"
23,71.832016,"((((((((0.7431538 - (x0 * 1.039653e-5)) * x0) * (x0 * 1.9496736e-11)) + -0.004949629) * x0) + 0.6438398) - -3.8527365) + -0.428092) + 0.27909243"
25,71.07219,"((x0 * ((x0 * (x0 * ((71603.64 - x0) * 2.2104376e-16))) + -0.005497289)) * (0.9680236 - (((x0 * x0) * x0) * 2.2104376e-16))) - -3.5070827"
27,71.06364,"((x0 * (((x0 + -2.2159722) * (x0 * ((71603.64 - x0) * 2.2104376e-16))) + -0.005497289)) * (0.9680236 - ((x0 * (x0 * x0)) * 2.2104376e-16))) - -3.5070827"
29,71.03131,"((x0 * (((((x0 * (x0 + -0.53685766)) - 71603.64) * (71605.016 - x0)) * 2.2104376e-16) + -0.005495698)) * (0.9675877 - ((x0 * x0) * (x0 * 2.2104376e-16)))) - -3.4734077"
