Complexity,Loss,Equation
1,4.8370422e8,"30455.979"
3,4.3922576e8,"54741.168 - x0"
5,2.024979e8,"-1.3205932e8 / (x0 + -27668.701)"
7,1.1058086e8,"(-1.3205932e8 / (x0 - 28577.729)) - -13234.9"
9,1.01874664e8,"((x0 - 12028.287) * (39779.062 - x0)) / 3698.721"
11,8.801065e7,"((x0 - 13693.587) * ((x0 * -7.8187523) + 310994.9)) / x0"
13,7.558761e7,"(x0 - 14502.021) * (((x0 * -5.603208) + 220995.48) / (x0 + -8822.505))"
15,6.2303744e7,"((x0 + (x0 - 29745.107)) * ((x0 * -2.0826526) + 83264.36)) / (x0 - 12648.563)"
19,6.2303724e7,"((((x0 + x0) - 29745.107) + 0.48572633) * (((x0 * -2.0826526) + 83264.49) / (x0 - 12648.267))) - 1.7208623"
21,5.996857e7,"((x0 + (x0 + -28972.496)) * ((x0 * -3.2557623) - -130517.555)) / ((x0 - (-2.0245712e6 / (x0 - 16765.467))) - 4879.8013)"
23,4.254655e7,"((x0 + (x0 - 30369.297)) * (((x0 * -2.8257744) - -92598.21) / ((x0 - (-2.0329975e6 / (x0 - 24817.361))) - 12308.178))) + x0"
25,3.912561e7,"((((x0 - 30369.297) + -210.70142) + x0) * (((x0 * -2.8257744) - -92598.21) / ((x0 - (-2.0329975e6 / (x0 - 24817.361))) - 12308.178))) + x0"
27,3.5527264e7,"((((((-210.70142 + x0) + x0) - 30369.297) * ((x0 * -2.8257744) - -92598.21)) / ((x0 - (-2.0329975e6 / (x0 - 24817.361))) - 12308.178)) + x0) * 1.0308385"
29,2.2975428e7,"((((x0 - 30640.557) + x0) * (((x0 * -2.8752832) - -92672.2) / ((x0 - (-2.0329971e6 / (x0 - 24877.81))) - 12026.124))) + (x0 - (0.6565041 / x0))) / 0.87445074"
