Complexity,Loss,Equation
1,7.399426e7,"12565.95"
3,6.191183e7,"3.60315e7 / x0"
5,2.2322744e7,"(2.4096012e7 / x0) + 7631.207"
7,2.0256574e7,"(6.149892e7 / (x0 - -1723.6085)) + 5989.6104"
9,2.1354948e6,"((4.723997e9 / (x0 + 36722.63)) + x0) + -98517.59"
11,1.9991616e6,"((x0 + -108244.914) + (5.9656704e9 / (x0 + 44729.8))) * 1.1896571"
13,1.9991566e6,"(((5.9656704e9 / (x0 + 44732.312)) + (x0 - -0.7149998)) + -108244.69) * 1.1900264"
15,1.2973489e6,"(x0 + -221.69246) / (x0 / ((3.4392748e9 / (x0 + 27430.033)) + (x0 + -88434.3)))"
17,737932.1,"(((((x0 + -174.5568) / x0) * (2.3340027e9 / (x0 + 17376.17))) + x0) + -77302.36) * 0.83105993"
19,298415.56,"(((((1.4545272e9 / (x0 + 8649.738)) * ((x0 - 373.15924) / x0)) + x0) + -66711.75) * 0.66893744) - -1213.5306"
21,297197.8,"((((((x0 - 373.15924) / x0) * ((1.4545272e9 / (x0 + 8649.738)) + x0)) + -67518.04) * 0.66893744) - -1215.1677) + 806.288"
23,3921.3027,"((x0 + -12534.7295) * (x0 + (((x0 + (-3.425904e8 / (x0 + 21993.092))) * -108288.29) / (x0 + 62688.367)))) / (x0 + -11546.294)"
27,200.41418,"(((x0 + (-3.425904e8 / (x0 + 19508.314))) * -109431.96) / (x0 + 65405.395)) + ((((x0 / 449.8919) + x0) * (x0 + -11754.18)) / (x0 + -10973.553))"
