Complexity,Loss,Equation
1,1.6407852e6,"x0"
3,1.5445518e6,"x0 * 1.0076594"
5,1.4575072e6,"(x0 * 1.0487095) - 1691.498"
7,1.1493008e6,"(x0 * (x0 * 1.4773523e-5)) - -15887.443"
9,956081.5,"(x0 / ((x0 / -21.402609) + 2138.0059)) + x0"
11,395771.3,"(x0 + (x0 / ((x0 / -21.382097) + 2139.5474))) * 0.9811538"
15,294422.12,"(((x0 + (x0 + x0)) / -21.350168) / (4289.575 + (x0 / -10.591212))) + x0"
17,264538.78,"((((x0 + x0) + (x0 + x0)) / -21.350168) / (4289.575 + (x0 / -10.591212))) + x0"
19,112194.734,"x0 - ((x0 * 0.26726994) / ((((x0 + x0) * -0.00022346996) * ((-2.401404e6 / x0) + 52.701817)) + -7.1289034))"
21,112094.04,"(x0 + -11.879854) - ((x0 * 0.26726994) / (((((-2.401404e6 / x0) + 52.701805) * -0.00022678793) * (x0 + x0)) + -7.1289034))"
23,112093.79,"(x0 - (((x0 * 0.26726994) / ((((x0 + x0) * ((-2.401404e6 / x0) + 52.701805)) * -0.00022701702) + -7.1289034)) - -12.83762)) + 0.7069255"
25,110228.95,"(((-2.401404e6 / x0) + x0) - ((x0 * 0.26726994) / (((x0 + x0) * (((-2.401404e6 / x0) + 52.701817) * -0.00022346996)) + -7.1289034))) + 53.990704"
27,110207.27,"((((-2.401404e6 / x0) + x0) - ((x0 * 0.26726994) / (((x0 + x0) * (((-2.401404e6 / x0) + 52.701817) * -0.00022346996)) + -7.1289034))) + 53.990704) + 2.1729257"
