Complexity,Loss,Equation
1,5.2960307e8,"20473.553"
3,4.9437098e8,"x0 * 0.37293595"
5,4.9181296e8,"(x0 * 0.49987084) - 7429.008"
7,2.293839e8,"(-492.31104 / (x0 + -62738.94)) * 20998.404"
9,4.7634476e7,"x0 * ((-562.29816 / (x0 + -63584.07)) + 0.411314)"
11,1.054791e7,"(((-603.3782 / (x0 + -63973.836)) * x0) + x0) + -28490.992"
13,6.9630785e6,"((x0 / (x0 + -64127.312)) * -595.4072) + ((x0 + -32109.521) * 1.2438706)"
15,6.9627065e6,"(((x0 + -32109.521) * 1.2438706) + ((x0 * -595.4072) / (x0 + -64127.312))) + 1.3808229"
19,755559.9,"(x0 * (-581.9884 / (x0 + -63512.1))) + (((x0 / ((x0 + -57292.07) / -686.93964)) + x0) + -32709.074)"
21,611143.7,"x0 + (((188145.2 / ((x0 + -57279.207) / -215.50974)) + ((x0 * (-555.5955 / (x0 + -63473.227))) + -33202.496)) * 1.0269324)"
23,603344.9,"x0 + (((188156.39 / (((x0 + -57277.49) - -1.7187154) / -215.5088)) + (((x0 / (x0 + -63471.465)) * -555.59796) + -33204.258)) * 1.0273205)"
27,602846.7,"x0 + ((((-2.9775877 / (((x0 + -57277.49) - -1.718745) / -215.50897)) * -63473.22) + (((x0 * -555.5985) / ((x0 + -63473.24) - -1.7630167)) + -33204.258)) * 1.0271158)"
