Complexity,Loss,Equation
1,7.4399986,"2.599983"
3,0.020333335,"49928.086 / x0"
5,0.014194047,"-0.110548675 - (-50962.195 / x0)"
7,0.010535432,"(68714.14 / (x0 + 1821.1035)) - 0.4900233"
9,0.010411272,"(((-8.4076776e7 / x0) + 66440.15) / x0) + -0.45554048"
11,0.010411253,"((66440.15 + (-8.4076776e7 / x0)) / (x0 - 0.10639065)) + -0.45554048"
13,0.0038618247,"((x0 / (x0 + 10166.518)) * -21.525059) + (15.82329 - (x0 * -6.0617043e-5))"
17,0.0037640012,"((x0 / (10166.518 + (x0 + (-21.525059 / -1.6216204)))) * -21.525059) + (15.82329 - (x0 * -6.0617043e-5))"
19,0.0008390749,"((-0.01297094 / ((98191.23 / x0) + -2.013387)) + (((-490853.28 / (x0 / 271.15994)) + 76307.805) / x0)) + -0.73653793"
21,0.00046295687,"(-0.016708558 / ((98191.23 / x0) + -2.0265162)) + ((((-490853.28 / (x0 / 271.16006)) + 76307.805) / (x0 - -56.44905)) + -0.72550005)"
23,0.00017763212,"(((-490853.28 / ((-3791.492 / x0) + (x0 / 271.16))) + 76307.805) / x0) + ((-0.024730925 / ((98191.23 / x0) + -2.0743089)) + -0.691402)"
25,0.00017741579,"((((-490853.28 / ((-3791.492 / x0) + ((1.3937708 + x0) / 271.16))) + 76307.805) / x0) + (-0.024730925 / ((98191.23 / x0) + -2.0743089))) + -0.691402"
