Complexity,Loss,Equation
1,3410.36,"175.20006"
3,940.57996,"x0 * 0.004777018"
5,739.71075,"(x0 * 0.0038024974) + 39.765068"
7,739.6493,"x0 + ((39.932507 - x0) * 0.99619794)"
9,680.0035,"((x0 * 0.004034092) * x0) / (x0 + -6096.5005)"
11,477.9109,"((x0 * 0.003642813) - (x0 / (31951.588 - x0))) + 43.3427"
13,361.80084,"((x0 * 0.0033937178) + 53.41667) - ((x0 * 2.2873807) / (31237.479 - x0))"
15,358.6634,"((x0 * 0.0034007852) - ((x0 / ((56.370422 - x0) + 31245.902)) * 2.3176634)) + 52.755108"
17,219.34468,"71.26156 - ((((x0 / (30864.328 - x0)) * -14508.097) / (19482.02 - x0)) + (x0 * -0.0031468356))"
19,165.64996,"(77.54325 - ((-0.7978903 / (31032.037 - x0)) * ((x0 / (19495.428 - x0)) * x0))) + (x0 * 0.0029697693)"
