Complexity,Loss,Equation
1,7118.039,"106.40695"
3,6121.0474,"x0 * 0.0024251593"
5,5977.6055,"(x0 * 0.0018308766) + 29.717594"
7,5949.4834,"x0 * (0.004079044 - (x0 * 3.0910925e-8))"
9,5263.437,"(x0 / ((x0 * 0.73173237) + -33467.496)) + 83.26318"
13,4581.032,"(x0 * ((0.72906196 / ((x0 * 0.72906196) + -33380.414)) + 0.0019073479)) - -7.9584"
15,4576.1045,"(x0 * (((0.72906196 / ((x0 * 0.72906196) + -33380.414)) + 49.657738) - 49.65583)) - -7.9584"
17,4426.3096,"(x0 * ((x0 / (-1.3928533 - x0)) + ((-1.2698673 / (-46795.984 + x0)) - -1.0020839))) - -0.66127855"
19,3966.7456,"((((-1.6878293 / (x0 + -46742.855)) - 44.280895) + 45.283207) + ((x0 + -7.96937) / (-2.1133237 - x0))) * x0"
21,3966.3777,"(((((-1.6878293 / (x0 + -46742.855)) - 44.280895) + 45.283207) + ((x0 + -7.96937) / (-2.1133237 - x0))) * x0) - -0.18325807"
23,3950.9758,"((((x0 + 0.9183946) / (-6.46143 - (x0 + 13.2540455))) + ((-1.6447511 / ((x0 + -46797.473) - -1.6025397)) - -1.0020348)) * x0) - -5.3894076"
27,3950.5671,"(x0 * (((x0 + (0.99193203 - -3.846052)) / (-0.4984589 - (x0 + -8.309368))) + ((-1.644 / (x0 + (-46797.38 + 0.9441082))) - -1.0020839))) + (35.67577 - 0.7419523)"
29,3936.45,"((x0 * ((-1.4812323 / ((x0 + -46811.82) - -70.35272)) - -0.0019477368)) + (((x0 / ((x0 + 0.9441082) - 0.35890776)) + x0) / (0.35890776 - (x0 + -8.170717)))) + 27.348717"
