Complexity,Loss,Equation
1,3.5875187e8,"28154.406"
5,3.3516368e8,"34720.1 - (x0 * 0.25062066)"
7,2.3970403e8,"(-2.1220546e7 / (x0 - 4662.908)) + 25214.516"
9,2.3951714e8,"(39.128677 - (26723.012 / (x0 - 4540.908))) * 640.0146"
13,2.3691917e8,"(x0 * (61.335995 / (((x0 * x0) / -832987.4) + 27.138187))) + 26624.906"
15,2.3576862e8,"((1541.5242 - x0) * (-66.896095 / (((x0 * x0) / -1.1962352e6) + 18.942667))) + 28011.08"
17,2.2317686e8,"((x0 * x0) * -1.5972031e-5) + ((x0 + 22499.164) - ((x0 * 6830.953) / (x0 + -5275.1016)))"
19,2.0918757e8,"((((x0 * x0) * -1.5676631e-5) + (x0 + 22324.521)) - (x0 * (6656.0146 / (x0 + -4834.3784)))) + -284.35043"
23,2.091875e8,"(x0 * (x0 * -1.5676875e-5)) + ((((x0 + (22325.637 - ((x0 * 6656.027) / (x0 + -4834.403)))) + -145.732) - 138.60442) + 0.89403987)"
27,2.0909765e8,"((15218.679 - ((x0 / (((x0 * (x0 + -5115.556)) / -1.2132181e6) + -1.4224383)) * -21.969845)) + x0) + (((x0 * 31.58294) * (x0 / -2.0448134e6)) + -627.2886)"
