Complexity,Loss,Equation
1,4.084142e6,"x0"
3,3.8942995e6,"x0 - 435.61896"
5,1.163034e6,"-4235.951 - (x0 * -1.1048068)"
7,1.1627245e6,"((x0 * 1.1047832) - -8.74939e6) + -8.753625e6"
9,1.156614e6,"-4252.644 - ((x0 * 4502.9146) - (x0 * 4504.019))"
11,1.1471662e6,"(-5974.646 - ((x0 * 7240.289) - (x0 * 7241.3936))) + 1763.1364"
13,540322.94,"(95.23036 / ((x0 / 6609.433) - 6.827276)) + (-4235.9487 - (x0 * -1.1049232))"
15,536247.4,"(-4235.951 - (x0 * -1.1048068)) + ((95.21556 / ((x0 / 6609.4307) - 6.829891)) - -0.14606294)"
17,536247.0,"((95.21556 / ((x0 / 6609.4307) - 6.829891)) - -0.14606294) + (-4235.951 - ((x0 * -1.1048068) + 0.20195481))"
19,535003.06,"(((x0 * -27.638561) + ((x0 + 35.215103) * 28.739777)) + (95.21556 / ((x0 / 6609.4307) - 6.829891))) - 5125.2285"
21,534972.9,"(((2.243046 + (x0 * -27.638561)) + ((x0 + 35.215103) * 28.739777)) + (95.21556 / ((x0 / 6609.4307) - 6.829891))) - 5125.2285"
23,533519.0,"(x0 * -27.628298) + (((x0 + 35.21511) * 28.75005) + (((95.21556 / ((x0 / 6609.4307) - 6.830989)) - 5127.008) - (x0 * 0.020529794)))"
25,533514.0,"(x0 * -27.628298) + ((((x0 + 35.21511) * 28.75005) + (((95.21556 / ((x0 / 6609.4307) - 6.830989)) - 5127.008) - (x0 * 0.020529794))) - -1.5565605)"
27,533258.3,"(x0 * -27.628298) + (((28.75005 * (x0 + 35.21511)) + (((95.21556 / (((x0 + -1.5794483) / 6609.4307) - 6.830989)) - 5127.008) - (x0 * 0.020529794))) - -1.5565605)"
