Complexity,Loss,Equation
1,2.329952e7,"63532.625"
5,116754.46,"65344.016 - (4.286702e6 / x0)"
7,77678.79,"(x0 * 65412.668) / (x0 + 87.75073)"
9,29420.41,"(x0 * (28570.936 / (x0 + 358.68195))) - -37037.176"
11,29419.166,"(((x0 + -2.2131464) * 65608.7) + 1.3460526e7) / (x0 + 359.2976)"
13,20908.264,"(((x0 * 66005.08) + 1.9377516e7) / (x0 + 484.73553)) - (x0 * 0.0078180665)"
15,20907.473,"((((x0 * 66006.99) + 1.9377516e7) / (x0 + 484.69656)) + (x0 * -0.007817884)) - 2.0006616"
17,20907.145,"((((x0 * 66005.42) + 1.9377516e7) / (x0 + 484.7332)) + ((-1.8448073 - x0) * 0.0078134)) - 0.5353099"
21,20907.012,"((((x0 - -0.01685808) * 66005.125) + 1.9377516e7) / (x0 + 484.74042)) - ((x0 * 0.0078002703) - (x0 - (x0 + 0.8129206)))"
23,8179.0693,"(x0 * -0.0063249376) + ((8457.225 + (((x0 * 57511.645) + 1.4542983e7) / (x0 + 466.16653))) - (-3.3963244 / (-0.21762395 - (-4.682867e-6 * x0))))"
25,8169.4805,"(((x0 * -0.006324936) + (((x0 * 57511.645) + 1.4542983e7) / (x0 + 466.16653))) + 8456.033) - ((-0.63076735 + -3.3963244) / (-0.21762395 - (x0 * -4.682869e-6)))"
27,8065.768,"(x0 * -0.0063252295) + ((8456.033 - ((-3.3963244 + (x0 * -7.8025405e-6)) / (-0.21762401 - (-4.6823725e-6 * x0)))) + (((x0 * 57511.645) + 1.4542983e7) / (x0 + 466.16653)))"
29,8057.1514,"((x0 * -0.0063252295) + 1.5542141) + ((8456.033 - (((x0 * -7.8025405e-6) + -3.3963244) / (-0.21762401 - (x0 * -4.6823725e-6)))) + (((x0 * 57511.645) + 1.4542983e7) / (x0 + 466.16653)))"
