Complexity,Loss,Equation
1,3425.2593,"182.79883"
5,2003.232,"(x0 * 0.0022159542) + 105.958565"
7,1713.4026,"((x0 * x0) * 3.5070403e-8) + 130.47954"
9,1338.8995,"x0 * ((51.39103 / (x0 + -1377.8668)) + 0.0033746166)"
11,1172.3612,"(x0 * 0.0031630832) + (x0 / ((x0 / 62.18119) + -23.049295))"
13,1171.2887,"(x0 * 0.0032927587) + ((x0 / ((x0 + -797.33813) / 247.56847)) + -193.97687)"
15,1171.2618,"((x0 * -0.99669755) + (x0 / ((x0 + -752.14374) / 273.0885))) + (x0 + -220.13448)"
17,1171.2434,"(x0 * -0.99669755) + (((x0 - -0.53422844) / ((-752.14374 + x0) / 273.0885)) + (x0 + -220.13448))"
19,1171.2338,"((x0 - 0.5564153) * 1.0032982) + (((x0 - 0.1596042) / ((x0 + -753.2287) / 272.90195)) + (-219.2359 - x0))"
21,1171.2272,"((x0 - 0.5564153) * 1.0032982) + (((x0 - 0.1596042) / ((-753.2287 + x0) / 272.90195)) + ((-220.20891 - x0) - -0.9123429))"
23,1171.2249,"(((((x0 - 0.5564153) * 1.0032988) + -220.20891) + ((x0 - 0.17174375) / ((x0 + -753.2287) / 272.90195))) - (x0 + -1.127121)) - 0.18756153"
27,1122.5095,"(-219.90402 + (0.003310502 * x0)) + (x0 / ((x0 + ((-753.95715 / (-752.39355 - ((x0 / 0.17610447) / ((-224.64128 + x0) - x0)))) + -753.95715)) / 273.07358))"
29,1090.9314,"((x0 * 0.0033295313) + -219.90402) + (x0 / ((x0 + ((-753.95715 / (-752.39355 - (((x0 / 0.17610428) / ((x0 + -224.64128) - x0)) + -0.27744126))) + -753.95715)) / 273.07358))"
