Complexity,Loss,Equation
1,8394.338,"240.39684"
3,8391.989,"x0 / 154.40393"
5,5447.1323,"(x0 * 0.0034040115) - -126.305"
7,5326.679,"170.92056 - ((x0 * x0) * -5.0391495e-8)"
9,5237.74,"(x0 * 0.0050600525) - ((-1.0678644e6 / x0) - 26.371986)"
11,5237.7393,"(x0 * 0.0050555896) - (((197.86606 / x0) - -0.004948424) * -5383.0103)"
13,4854.7705,"(x0 * 0.002815964) + (140.32443 - (-144.97421 / ((x0 * 0.0026630156) - 139.12611)))"
15,4246.5366,"(138.5013 - (-53.21106 / ((x0 * 0.0033261299) + -144.41072))) + ((x0 * 0.0029560232) - 2.7248764)"
25,3353.6094,"(x0 * 0.0026841094) + ((137.56366 - (-53.21106 / (((x0 * 0.0033193787) + -144.97421) / -1.6751062))) + (-144.97089 / (((x0 * 0.002787129) + -144.97415) / -1.6751062)))"
27,3349.683,"((x0 * 0.0026841094) + (136.2353 - (-53.21106 / ((((x0 + 2.3164368) * 0.0033193787) + -144.97421) / -1.6751062)))) + (-144.97421 / (((x0 * 0.002787129) + -144.97415) / -1.6751062))"
29,3312.4722,"(((-144.97421 / (((x0 * 0.00278538) + -144.97415) / -1.6751062)) + (x0 * 0.0026453524)) + 137.56366) - ((-53.21106 / ((x0 * 0.0033192113) + -144.97421)) / ((x0 * 0.0033192113) + -144.97421))"
