Complexity,Loss,Equation
1,3.9227613e8,"36284.07"
5,3.6948512e8,"(x0 * -0.31369746) + 47318.957"
7,3.5485907e8,"((x0 * -5.744137e-6) * x0) - -44721.64"
9,2.9285744e8,"38367.62 - (x0 / ((x0 + -38103.957) / 1007.3847))"
11,2.9135344e8,"39236.254 - ((x0 / ((x0 + -38089.61) / x0)) / 37.476673)"
13,2.8832157e8,"43173.117 - ((x0 * (4.86491 + (x0 / (-38005.375 + x0)))) / 39.669254)"
15,2.4898602e8,"42905.95 - ((x0 * x0) / (((x0 + -38527.76) * (x0 + -66673.64)) / -637.32574))"
17,2.4895322e8,"42928.445 - (((x0 * x0) / (((x0 + -66786.22) * (x0 + -38549.707)) / -634.5574)) * 1.0147777)"
19,2.4895248e8,"(46969.4 - ((x0 * (x0 / (((x0 + -38549.707) / -634.5587) * (x0 + -66782.945)))) * 1.011729)) + -4037.6797"
21,2.4244843e8,"(39463.44 - ((x0 * 1.1317798) * (x0 / (((x0 + -38505.566) / -627.10846) * (x0 + -66716.305))))) + (x0 / 8.36224)"
23,2.4244834e8,"((39463.44 - (((x0 * 1.1317798) * x0) / (((x0 + -38505.566) / -627.10846) * (x0 + -66716.305)))) + (x0 / 8.36224)) + -0.7499262"
25,2.39972e8,"(43113.547 - ((x0 * x0) / (((x0 + -66654.65) / -774.53217) * (x0 + -38439.59)))) + (-7896.63 - (((x0 + x0) / -66848.6) * 8417.853))"
27,2.3432618e8,"(46522.516 - ((x0 * x0) / (((x0 + -67405.78) / -677.7457) * (x0 + -38687.23)))) - (((x0 + -38830.684) / -469.3568) * ((x0 + -38830.676) / -164.09741))"
