Complexity,Loss,Equation
1,3.2582704e8,"36745.78"
5,3.2394147e8,"(x0 * -0.07021293) - -38707.668"
7,2.7396346e8,"(2.2145238e6 / (x0 + -16146.421)) + 38576.3"
9,2.536056e8,"((x0 * 593.5286) / (x0 - 31888.305)) + 38253.5"
11,2.4589197e8,"((6.0772057e10 / (x0 + -16233.028)) / (-4268.681 + x0)) + 37455.562"
13,2.4584989e8,"(((6.0772057e10 / (x0 + -16230.922)) / (x0 + -4265.974)) + 37822.074) * 0.99042904"
17,2.3048272e8,"(((x0 * 9.598287e10) / ((x0 * 0.513933) + -16232.074)) / ((x0 + -4265.9727) * x0)) + 37820.926"
19,2.2925184e8,"(((x0 * (9.598287e10 / ((0.513933 * x0) + -16232.074))) / ((x0 + -4265.9727) * x0)) + 37820.926) / 1.0224631"
21,2.2913608e8,"37305.97 + (((1.0079211e11 / (((0.513933 * x0) - -1.16889) + -16232.074)) / (((x0 + -4265.9727) * x0) * 1.115472)) * x0)"
23,2.291297e8,"((x0 + -1.2880498) * ((1.0079211e11 / (((x0 * 0.513933) - -1.16889) + -16232.074)) / ((x0 + -4265.9727) * (x0 * 1.115472)))) + 37305.97"
25,2.2731197e8,"(((x0 * 0.012016237) + -661.9391) + (((1.94859e11 / (x0 + -31615.06)) / (x0 - 4357.4854)) + 38368.18)) + ((x0 / 18488.814) - (x0 / -15934.245))"
