Complexity,Loss,Equation
1,3.9439575e6,"x0"
3,3.7166595e6,"x0 * 1.0114329"
5,1.784179e6,"(x0 * 1.0894476) + -3537.0713"
7,1.7841786e6,"((x0 * 1.0894476) + 2102.18) - 5638.9385"
9,1.6753449e6,"(45769.68 / (x0 / -802.70337)) + (x0 * 1.0325722)"
11,1.6451188e6,"((x0 - -4403.405) / x0) * ((x0 + -5530.923) * 1.0523258)"
13,1.0142807e6,"((x0 + (103882.3 / (1408.5248 - (x0 / 21.384007)))) + -3811.7979) * 1.1029527"
15,1.0142678e6,"(((103882.3 / (1408.5248 - ((x0 + 1.7331165) / 21.384026))) + x0) + -3813.3518) * 1.1029819"
19,1.0142668e6,"(((90.549355 / (1426.5225 - ((x0 + 2.4498549) / 21.115805))) - 0.32276204) * 1290.0719) + ((x0 + -3445.3884) * 1.1032251)"
21,987923.3,"(135729.89 / (1592.389 - (x0 / 18.988613))) + ((x0 + (-3304.0803 - (1495.0784 / ((x0 + -2003.8694) * 0.00033355216)))) * 1.093234)"
25,984945.9,"((-3304.0803 + (x0 - (1495.0784 / (((0.7749529 * x0) + -3498.9478) / 1800.474)))) * 1.093234) + ((105.900795 / (1592.389 - (x0 / 18.988613))) * 1281.6702)"
27,984907.7,"((((x0 + -3304.0803) - (1495.0784 / (((0.7749529 * x0) + -3498.9478) / 1800.474))) * 1.093234) + ((105.900795 / (1592.389 - (x0 / 18.988613))) * 1281.6702)) + 2.6365285"
