Complexity,Loss,Equation
1,9.8985576e7,"45056.156"
5,6.906509e7,"(x0 * -0.2831974) + 53670.35"
7,6.906508e7,"(x0 + 53670.83) - (x0 * 1.2832046)"
9,6.885666e7,"(x0 * -28222.514) + (54026.457 - (x0 * -28222.22))"
11,5.172969e7,"((5.636671e6 / (x0 + -24827.682)) + 53843.277) - (x0 * 0.29562673)"
13,5.172967e7,"(x0 + ((5.636671e6 / (x0 + -24827.682)) + 53843.137)) - (x0 * 1.2956102)"
15,5.1729064e7,"((((x0 * 226.6499) / (x0 + -24831.053)) + x0) + 53552.984) - (x0 * 1.294303)"
17,5.172816e7,"(((53843.137 + (5.636671e6 / (-24827.682 + x0))) + x0) - (1.2956102 * x0)) - (-24827.682 / x0)"
19,4.9443464e7,"(x0 + (((4.0486308e6 / (x0 + -24822.283)) - (x0 - (76937.92 / (x0 + -21742.783)))) * 1.3043542)) + 54320.54"
21,4.752524e7,"(((x0 + (76936.484 / (x0 + -24781.51))) * 53.137165) - (53.446133 * (x0 - (76952.516 / (-22139.877 + x0))))) + 54306.266"
23,4.6636304e7,"(((((x0 + 76936.484) / (x0 + -24781.51)) + x0) * 53.137165) - ((x0 - (76952.516 / (x0 + -22139.877))) * 53.446133)) + 54306.266"
25,4.663626e7,"(((x0 + ((x0 + 76936.484) / (x0 + -24781.51))) * 53.137165) + 54306.266) + (-0.0009229087 - ((x0 - (76952.516 / (x0 + -22139.877))) * 53.446133))"
27,4.5786224e7,"(((x0 + ((76936.484 / (x0 + -24781.51)) + (-66750.74 / (x0 - 54321.74)))) * 53.137165) - (53.446133 * (x0 - (76952.516 / (-22139.877 + x0))))) + 54306.266"
29,4.4952388e7,"((((x0 + ((x0 + 76936.484) / (x0 + -24781.51))) + (-66750.74 / (x0 - 54321.74))) * 53.137165) - ((x0 - (76952.516 / (x0 + -22139.877))) * 53.446133)) + 54306.266"
