Complexity,Loss,Equation
1,10.027498,"2.6499927"
5,5.9318495,"x0 / (x0 + -5297.8613)"
7,5.1005993,"(x0 / (x0 + -5242.815)) + 0.953511"
9,4.925647,"((x0 / (x0 + -5419.532)) * 0.6565211) + 1.3220195"
11,4.80083,"((x0 / (x0 + -5206.69)) + (5221.1763 / x0)) + 0.5758117"
13,4.785724,"((3810.581 / x0) + ((x0 / (x0 + -5319.5386)) * 0.8083864)) + 0.8749522"
15,4.785653,"((x0 * 0.8083864) / (-5319.5386 + x0)) + (0.8749522 - ((-3809.4167 / x0) / 0.9974725))"
19,4.6114573,"(x0 * (((-1.7320852 / x0) / ((x0 + -4136.5415) / x0)) + (2.6112602 / (x0 + -4881.028)))) + 0.82330793"
21,4.6114125,"(x0 * (((-1.7320852 / x0) / (((-0.4318404 + x0) + -4136.5415) / x0)) + (2.6112602 / (x0 + -4881.028)))) + 0.82330793"
23,4.6108274,"((((-1.687579 / x0) / ((x0 + -4136.5415) / x0)) + (2.555906 / (x0 + ((x0 + -4886.7812) - x0)))) * x0) + 0.83640075"
25,4.594057,"(((((-1.2218152 / x0) / ((x0 + -9187.608) / x0)) + (1.3818839 / (x0 + ((-5310.272 - x0) + x0)))) * x0) + 4.219605) * 0.4867649"
