Complexity,Loss,Equation
1,4848.488,"75.541016"
3,2655.6733,"x0 / 472.49918"
5,2630.6965,"(x0 * 0.002333437) - 10.399767"
7,2435.2202,"(-5271.681 * x0) - (-5271.683 * x0)"
9,2400.9133,"((x0 * -5271.681) - (x0 * -5271.683)) * 1.0345659"
11,2264.3115,"((-14297.502 * x0) - (-12195.769 * x0)) - (x0 * -2101.7356)"
13,1902.7438,"(x0 * -14297.502) + ((-0.507192 - (x0 * -12195.769)) - (-2101.7356 * x0))"
15,1897.6447,"(((-1.4377221 - (x0 * -12195.769)) - (x0 * -2101.7356)) + (x0 * -14297.502)) / 0.987535"
17,1894.1757,"(-0.8730417 + (((-1.4377221 - (x0 * -12195.769)) - (x0 * -2101.7356)) + (x0 * -14297.502))) / 0.987535"
19,1868.8345,"(((x0 * -14297.502) + ((1.4948632 - (x0 * -12195.769)) - ((x0 * -2101.7356) - 0.06423867))) + -3.962389) / 0.9150852"
21,1847.0925,"x0 + ((((x0 * -6915.3013) - x0) - (x0 * 531.9913)) + (x0 * ((2.5257668 / (x0 * -0.25001037)) - -7447.295)))"
23,1764.3107,"((((2.5257668 / (x0 * -0.25001037)) - -7447.295) * x0) + (x0 + -2.499595)) + (((x0 * -6915.3013) - x0) - (x0 * 531.9913))"
25,1761.7206,"((((2.5257668 / (x0 * -0.25001037)) - -7447.295) * x0) + (x0 + -2.499595)) + ((((-6915.3013 * x0) - x0) - -1.0512971) - (x0 * 531.9913))"
27,1738.2195,"((-2.499595 + x0) + (((2.5257668 / (x0 * -0.25001037)) - -7447.295) * x0)) + ((((x0 * -6915.3013) - x0) - ((x0 * 531.9913) + -0.57780445)) + 2.5257668)"
29,1735.3444,"(((2.5257668 / (x0 * -0.25001037)) - -7447.295) * x0) + (((x0 + -2.499595) + (((x0 * -6915.3013) - (x0 + -1.8838447)) - ((x0 * 531.9913) + -0.57780445))) + 2.5257668)"
