Complexity,Loss,Equation
1,5955.7417,"123.64528"
5,5949.2837,"(x0 * -0.00012366772) + 127.734055"
7,5916.9126,"((x0 * x0) * -4.441716e-9) + 130.36517"
9,5681.5874,"((x0 * -5.04839e-8) * (x0 + -63500.734)) + 94.1592"
11,5681.4883,"((((x0 + -63499.26) - 94.16033) * x0) * -5.0492446e-8) + 94.01987"
13,5577.7295,"((560.45593 / ((x0 / 157482.58) - (6008.385 / x0))) / 1010.31415) + 120.71775"
15,5473.4814,"((x0 / (((-51.092716 - x0) / -2958.5156) + -4.7651224)) / (121.73722 - x0)) + 121.73722"
17,5446.64,"122.54141 + (x0 * ((1.2369606 / (-4.7642217 + ((-43.67035 - x0) / -2958.5151))) / (122.54141 - x0)))"
19,5434.095,"(((x0 / (((-51.092503 - (x0 + -9.530681)) / -2958.5151) + -4.7642217)) * 1.2369606) / (x0 * -0.85787857)) + 122.54141"
25,5410.6357,"((x0 / (-4.7642217 + ((-44.116493 - x0) / -2958.5151))) / ((((x0 / ((x0 - x0) - 1.1953936)) / -2958.5151) + -4.7642217) * x0)) + 121.25824"
27,5410.6235,"(((x0 / (-4.7642217 + ((-44.116493 - x0) / -2958.5151))) / ((((x0 / ((x0 - x0) - 1.1953936)) / -2958.5151) + -4.7642217) * x0)) + 121.25824) + 0.008310375"
29,5410.139,"((((x0 / (((-44.116493 - x0) / -2958.5151) + -4.7642217)) / ((((x0 / ((x0 - x0) - 1.1953936)) / -2958.5151) + -4.7642217) * x0)) + 121.25824) - 0.32194772) + 1.1466746"
