Complexity,Loss,Equation
1,3.8304934e8,"32374.424"
5,3.6446768e8,"(x0 * 0.24772055) + 23830.008"
7,3.644545e8,"(-4.3121788e7 - (x0 * -0.24720034)) + 4.314563e7"
9,3.387683e8,"((x0 * -1.8531428e6) + 24754.0) - (x0 * -1.853143e6)"
11,3.2549965e8,"(((x0 * -1.8531428e6) - 2.3582076e7) - (x0 * -1.853143e6)) + 2.3606838e7"
13,3.24985e8,"((((x0 * -1.8531428e6) - 2.3582076e7) - (x0 * -1.853143e6)) + 2.3606802e7) * 1.0217168"
15,3.1764346e8,"(((x0 * -1.8531428e6) - 2.3582076e7) - ((x0 * (-1.853143e6 / x0)) * x0)) + 2.3606836e7"
17,3.1714163e8,"((((x0 * -1.8531428e6) - 2.3582076e7) - ((x0 * (-1.853143e6 / x0)) * x0)) + 2.3606794e7) * 1.0220602"
19,3.134245e8,"(x0 + 2.3606812e7) + (((x0 * -1.8531428e6) - 2.3582076e7) - ((x0 * ((-1.853143e6 / x0) * x0)) + x0))"
21,3.0823325e8,"(x0 + 2.3606812e7) + (((x0 * -1.8531428e6) - 2.3582076e7) - ((x0 * 0.98931354) + ((x0 * (-1.853143e6 / x0)) * x0)))"
23,3.079638e8,"((((x0 * -1.8531428e6) - 2.3582076e7) - ((x0 * 0.98931354) + ((x0 * (-1.853143e6 / x0)) * x0))) + (x0 + 2.3606812e7)) * 1.0134426"
25,3.015158e8,"((((((x0 * (-1.8531418e6 / (x0 + -0.09045854))) * x0) - 2.3582076e7) - ((x0 * (-1.853143e6 / x0)) * x0)) - x0) * 0.9929678) + 2.3606812e7"
27,3.0151565e8,"(((((x0 * (x0 * (-1.8531418e6 / (x0 + -0.09046082)))) - 2.3582076e7) - (x0 * ((-1.853143e6 / x0) * x0))) - (x0 + -0.90601087)) * 0.99296916) + 2.360681e7"
29,2.987493e8,"((((x0 + (((x0 * (-1.8531418e6 / (x0 + -0.09047883))) * x0) - x0)) - 2.3582076e7) - ((x0 * ((-1.853143e6 / x0) * x0)) + x0)) * 0.9929676) + 2.360681e7"
