Complexity,Loss,Equation
1,4.254784e6,"x0"
3,3.9498038e6,"x0 * 1.0143617"
5,1.8248601e6,"(x0 * 1.0833377) + -3025.309"
7,1.8248589e6,"((x0 * 2.0833325) + -3024.565) - x0"
9,1.804356e6,"((975.3784 / x0) + 1.0688641) * (x0 + -3152.3518)"
11,1.5252664e6,"(-2.0317681e6 / (x0 + -30673.625)) + (-3298.1467 - (x0 * -1.0899801))"
13,1.5250272e6,"(-2.0138162e6 / (x0 + -30658.611)) + ((-3296.6907 - (x0 * -1.0897074)) + -1.7979906)"
15,1.5214039e6,"(-2.0317676e6 / (x0 + -30660.797)) + (-3234.9963 - (-1.0885375 * (x0 + (-394117.28 / x0))))"
17,1.5214008e6,"((-2.0317676e6 / (x0 + -30660.797)) + (-3234.9963 - (-1.0885375 * (x0 + (-394117.28 / x0))))) - -0.87951815"
19,1.5182474e6,"(-1.9373918e6 / (x0 + -30660.791)) + (((-2.0649872e6 / (x0 + x0)) + (-3221.6191 - (x0 * -1.0869806))) + 73.49467)"
21,1.518247e6,"(-1.9373918e6 / (x0 + -30660.791)) + (((((-2.0649872e6 / (x0 + x0)) + -3222.4846) - (x0 * -1.0869806)) + 73.49467) - -0.8655349)"
23,1.5181899e6,"(((-2.0649872e6 / (x0 + x0)) + -3222.4846) - (x0 * -1.0869806)) + ((((-394117.28 / (x0 + -30660.791)) - -1.4708914) * 4.915775) + 73.49467)"
