Complexity,Loss,Equation
1,7998.669,"262.77972"
5,4719.4297,"150.80298 - (x0 * -0.0032474678)"
7,4493.7256,"((x0 * x0) * 4.8110792e-8) + 190.62329"
9,4493.6475,"((x0 * -4.8199997e-8) * (190.69305 - x0)) + 190.69305"
11,4481.4287,"(197.00195 - (x0 * (x0 * -4.6121436e-8))) + (-69260.93 / x0)"
13,4481.266,"((-69261.16 / x0) + 197.52469) - ((x0 * -4.61491e-8) * (x0 - 196.69696))"
15,4459.024,"188.66798 - (((21.640823 / x0) + ((x0 + -9311.729) * 5.6165362e-8)) * (5592.5845 - x0))"
17,4457.566,"((1.3273216 / ((x0 * x0) * (x0 * -1.2092228e-12))) + 193.90143) - ((x0 * -4.6848463e-8) * x0)"
19,4455.252,"(193.892 - ((x0 * -4.6815483e-8) * x0)) + (-0.0011769623 / (((920.9276 - x0) * (x0 * x0)) * -1.4859887e-15))"
21,4448.409,"(193.99577 - (x0 * (x0 * -4.6560082e-8))) + (-4.773919 / ((x0 * (1477.0059 - x0)) * ((x0 * -2.4279964e-15) * x0)))"
23,4296.7075,"(184.0201 - (x0 * (x0 * -5.0731654e-8))) + ((x0 * -1.7563262) / ((((x0 * -5.581155e-8) * x0) - -105.91653) * (x0 * -0.08993401)))"
25,4239.537,"(184.0201 - (x0 * (x0 * -4.9722278e-8))) + (((x0 + x0) * -1.7563262) / (x0 * (((x0 * (x0 * -5.581155e-8)) - -105.91653) * -0.08993401)))"
27,4182.986,"((((x0 - (x0 * x0)) * -0.0029215538) / (x0 * (106.38158 - (x0 * ((-130.58588 - x0) * -5.5515205e-8))))) + 183.92082) - (x0 * (x0 * -5.0912256e-8))"
29,4180.671,"183.92082 - (((x0 * x0) * -5.076126e-8) + (((x0 - ((x0 * 0.0011148104) * x0)) / ((106.38158 - (((2.9203439 - x0) * x0) * -5.5738095e-8)) * x0)) * 2.5912845))"
