Complexity,Loss,Equation
1,8.234921e7,"43171.875"
5,7.8662504e7,"(x0 * -0.099398084) + 46323.41"
7,7.763151e7,"45570.57 - ((x0 * 1.7377683e-6) * x0)"
9,7.7139704e7,"(((x0 / -260119.08) + 0.13367498) * x0) + 44237.645"
11,7.711763e7,"43943.582 - ((-0.14663807 + ((x0 * -2.966361) / -754632.8)) * x0)"
15,7.399553e7,"(x0 / (-238122.7 / ((-391.43878 / ((17738.93 - x0) / -371146.25)) + 27761.041))) + 46136.727"
17,7.346003e7,"(x0 / (-238124.11 / ((x0 / 2.1339705) + (-377.33875 / ((17812.154 - x0) / -371146.16))))) + 45141.145"
19,7.3460024e7,"((x0 / (-238124.11 / ((x0 / 2.1339705) + (-377.33875 / ((17812.154 - x0) / -371146.16))))) + 45141.145) + 0.5988945"
21,7.3459976e7,"((x0 / (-238120.95 / ((x0 / 2.1362755) + (-374.76224 / ((17818.1 - x0) / -371146.12))))) + (45258.23 - 80.322845)) + -29.591583"
25,7.345802e7,"(x0 / (-238124.25 / (((-376.48193 / ((17812.79 - x0) / -371146.12)) + (x0 / 2.1032627)) + (-499.9892 / (x0 / (x0 - 17740.35)))))) + 45154.99"
