Complexity,Loss,Equation
1,6300.8467,"124.085335"
5,6233.791,"(x0 * 0.00043441306) + 109.9353"
7,6233.761,"(x0 * -0.9995642) + (x0 + 109.97153)"
9,6218.1094,"(383.08398 / ((x0 / -13.742452) + 207.69312)) - -124.11307"
11,6218.022,"(383.08398 / ((x0 / -13.742452) + 207.69312)) - (-124.11307 + 0.2915154)"
15,6154.45,"(321.3887 / ((492.70093 / (x0 / (x0 + x0))) + (x0 * -0.07118765))) - -124.4711"
17,6154.241,"((321.3887 / ((x0 * -0.07118765) + (492.70093 / (x0 / (x0 + x0))))) - -123.47829) - -0.5207834"
19,6122.034,"((318.6857 / (((x0 + x0) * (493.4729 / x0)) + (x0 * -0.0712177))) + (x0 * 0.00027819054)) - -117.65762"
21,6099.935,"((318.6857 / ((((x0 + x0) * (493.4729 / x0)) + (x0 * -0.0712177)) + -1.2682707)) + (x0 * 0.00027819054)) - -117.65762"
23,6089.761,"(((321.3887 / ((((x0 + x0) * (493.47324 / x0)) + (x0 * -0.07121309)) + -1.2682707)) + -2.703017) + (x0 * 0.00031602767)) - -117.65762"
25,6089.7173,"(((321.3887 / (((((-0.6915349 + x0) + x0) * (493.47324 / x0)) + (x0 * -0.07121309)) + -1.2682707)) + -2.703017) + (x0 * 0.00031602767)) - -117.65762"
