Complexity,Loss,Equation
1,9959.718,"256.52008"
3,9939.684,"x0 / 147.84317"
5,5640.2314,"(x0 * 0.003607354) + 136.51277"
7,5607.8125,"(x0 * (x0 * 5.2720782e-8)) - -180.67209"
9,5559.3276,"(((x0 + 50822.133) * x0) * 3.0649787e-8) + 160.60458"
11,5559.3223,"((((x0 + 50822.133) * 3.0666648e-8) * x0) - -0.2507077) + 160.29872"
13,5559.291,"(((x0 * 0.001607579) + ((x0 * 2.9994723e-8) * x0)) - -0.9477343) + 158.9414"
21,5489.6157,"(((x0 + (x0 / ((x0 * (x0 * 4.0907775e-8)) + -0.7221297))) * 0.00089054747) + 165.64713) + (x0 * (x0 * 4.125378e-8))"
23,5478.101,"(((x0 * x0) * 4.1759954e-8) + 167.50766) + ((((x0 + x0) / ((x0 * (x0 * 4.1933312e-8)) + -0.7211815)) + x0) * 0.00082063925)"
25,5478.0967,"((x0 * ((x0 - -4.89932) * 4.17387e-8)) + ((((x0 + x0) / (((x0 * x0) * 4.1933312e-8) + -0.7211815)) + x0) * 0.00082063925)) + 167.50766"
27,5477.933,"((x0 * x0) * 4.17387e-8) + (167.50766 + ((x0 + ((x0 + (x0 - 167.50766)) / ((x0 * ((x0 - 1.6004457) * 4.1933312e-8)) + -0.7211815))) * 0.00082063925))"
29,5477.926,"((((((x0 + x0) - 167.50766) / ((x0 * ((x0 - 1.6004457) * 4.1933312e-8)) + -0.7211815)) + x0) * 0.00082063925) + ((x0 * (x0 - -4.89932)) * 4.173851e-8)) + 167.50766"
