Complexity,Loss,Equation
1,3.7997248e8,"32883.906"
5,3.7662867e8,"(x0 * 0.096778475) + 29710.365"
7,3.7401795e8,"(x0 * 34141.023) / (x0 + 450.41556)"
9,3.7171738e8,"((x0 + 3143.2861) * 36173.676) / (x0 + 5408.69)"
13,3.7010435e8,"(((x0 / ((-39851.81 - x0) / x0)) * 1.3900056) + x0) - -23054.143"
15,3.7006685e8,"((1.485756 / ((-38329.02 - x0) / x0)) * x0) + ((x0 * 1.0781808) - -22523.512)"
17,3.6634653e8,"((((x0 + x0) / ((x0 + 5053.062) / x0)) * -9963.298) / (448.53445 - x0)) - -16559.686"
19,3.6634314e8,"(((-9963.298 / (448.53445 - x0)) * ((x0 + x0) + -5.0962877)) / ((x0 + 5053.062) / x0)) - -16562.566"
21,3.663376e8,"(((-9963.298 / (448.53445 - x0)) * (-5.0962877 + ((x0 + x0) / ((x0 + 5053.062) / x0)))) - -16559.686) - -2.880937"
23,3.6612976e8,"(((139.34244 / ((-8439.124 / (451.01413 - x0)) - x0)) * ((x0 + x0) / ((x0 + 4256.291) / x0))) * -60.56392) - -19040.422"
25,3.5996624e8,"(((x0 + x0) / (x0 + (4242.0454 / x0))) * ((2972.0298 / (((15181.786 / (-29862.979 - x0)) * -32743.344) - x0)) * -2812.271)) - -32602.4"
