Complexity,Loss,Equation
1,3.432603e6,"x0"
3,3.099965e6,"x0 / 0.9850311"
5,1.6199296e6,"(x0 * 1.0716496) + -2463.1826"
7,1.6199295e6,"((x0 * 1.0716496) - 0.27040067) + -2463.5837"
9,1.6154328e6,"(x0 - 2302.237) / ((x0 + 0.93258) - x0)"
11,1.5857624e6,"(x0 - 172.67863) * ((-2410.227 - (x0 * -1.0743923)) / x0)"
13,1.5510782e6,"-2505.6594 - ((x0 * -1.0701284) * ((x0 + -3917.7625) / (x0 + -4008.8354)))"
19,1.5125411e6,"(((107.5384 / (x0 + -4007.4197)) + ((-1155.5776 - (x0 * -1.0746921)) / (x0 - -708.3719))) * x0) + -838.1978"
21,1.5029982e6,"((x0 + -600.74554) * ((127.8615 / (x0 + -4001.6492)) + ((-1203.2803 - (x0 * -1.0762682)) / (x0 - -419.07242)))) + -553.79065"
23,1.5029269e6,"(((-1196.726 - (x0 * -1.0760144)) / (x0 - -392.59982)) * (x0 + -579.6272)) + (((x0 * 108.313934) / (x0 + -4002.8313)) + -578.1474)"
