Complexity,Loss,Equation
1,10385.897,"259.61667"
3,10142.142,"x0 / 148.27612"
5,5646.2847,"(x0 * 0.0036465896) + 136.97786"
7,5646.2744,"x0 + ((x0 * -0.9963522) - -136.9462)"
9,5608.0356,"x0 * ((138.5095 / (x0 - 8.902785)) - -0.0036130692)"
11,5601.968,"136.15503 - ((x0 * -0.0036595056) + (3279.675 / (3279.675 - x0)))"
13,5598.9126,"(-22.312963 - (x0 / (3286.4663 - x0))) + ((x0 * 0.0036728508) + 156.9942)"
17,5564.4653,"(((x0 / (x0 - 1.5835948)) - (28.04649 / (3279.675 - x0))) * 136.15503) - (-0.0036595056 * x0)"
19,5563.0225,"(((x0 / (x0 - 27.43206)) - (28.04649 / (3279.675 - x0))) * 136.15503) - ((x0 + -0.7804334) * -0.0036595056)"
21,5557.2275,"(136.07556 - (x0 * -0.0036664084)) * (x0 / (x0 - (15.685925 - ((x0 + x0) / ((x0 * 0.18060528) - 234.38174)))))"
23,5550.78,"(137.10022 - (x0 * -0.0036432156)) * (x0 / (x0 - ((25.883135 - (x0 / ((-168.01123 - (x0 * 0.8703109)) + x0))) / 0.513268)))"
25,5546.922,"(137.10022 - (x0 * -0.0036432156)) * (x0 / (x0 - ((25.883135 - ((x0 + x0) / ((-168.01123 - (x0 * 0.8703109)) + x0))) / 0.513268)))"
27,5546.765,"((137.10022 - (x0 * -0.0036432156)) * (x0 / (x0 - ((25.883135 - ((x0 + x0) / ((-168.01123 - (x0 * 0.8703109)) + x0))) / 0.513268)))) - -0.3378251"
