Complexity,Loss,Equation
1,7.927847e7,"42729.492"
5,7.8514824e7,"(x0 * -0.045973234) + 44258.227"
7,7.845227e7,"(x0 * (x0 * -7.0727424e-7)) + 43767.395"
9,7.808565e7,"((x0 + (7.123254e7 / x0)) * -0.06787569) + 45369.25"
11,7.800622e7,"((x0 - (-3.2141118e7 / (x0 + -497.76776))) * -0.060186785) + 44946.24"
13,7.80062e7,"((x0 - ((-3.2141118e7 / (x0 + -497.37604)) - -6144.517)) * -0.060240023) + 44577.72"
17,7.800619e7,"(((x0 - ((-3.2141118e7 / (-497.27322 + x0)) + -835.28186)) - -6178.553) * -0.060111344) + (17911.26 - -27453.7)"
19,7.8005656e7,"((((x0 / (x0 + -27447.29)) + (x0 - (-3.2141118e7 / (x0 + -496.36432)))) - -6180.0054) * -0.06081143) + 45346.59"
21,7.774969e7,"((x0 - ((-3.2141954e7 / (x0 + -530.0161)) - ((x0 - (-3.2141118e7 / (x0 + -1314.0364))) * 0.19679098))) * -0.05174845) + 45030.883"
25,7.753014e7,"((((((3.2140282e7 - x0) / ((-3.2141118e7 / x0) + (x0 * 0.061179206))) * -0.16217875) + x0) - (-3.2141118e7 / (x0 + -512.54736))) * -0.058847517) + 45361.76"
27,7.70589e7,"((((((-835.49023 - x0) - (-3.2141118e7 / ((-3.2141118e7 / x0) + (x0 * 0.060317595)))) * -0.20233013) + x0) - (-3.2141118e7 / (x0 + -512.54736))) * -0.060590226) + 45361.76"
